time,open,high,low,close,volume
2026-07-14T09:46:00+05:30,25031.1625,25046.4935,25002.2519,25012.8665,11662
2026-07-14T09:47:00+05:30,25012.8665,25022.4045,24984.8995,24998.2897,1523
2026-07-14T09:48:00+05:30,24998.2897,25012.8898,24993.9352,24998.8144,1142
2026-07-14T09:49:00+05:30,24998.8144,25007.5087,24959.7471,24973.7748,4768
2026-07-14T09:50:00+05:30,24973.7748,24997.246,24962.3364,24985.4847,11742
2026-07-14T09:51:00+05:30,24985.4847,24993.1633,24970.2105,24983.837,12299
2026-07-14T09:52:00+05:30,24983.837,25001.3903,24972.8216,24998.9712,9164
2026-07-14T09:53:00+05:30,24998.9712,25013.0474,24983.4317,24985.8368,7658
2026-07-14T09:54:00+05:30,24985.8368,25001.9382,24975.9347,24995.432,6514
2026-07-14T09:55:00+05:30,24995.432,25011.4878,24991.0351,25009.1629,1020
2026-07-14T09:56:00+05:30,25009.1629,25031.5716,25005.6786,25015.9785,11377
2026-07-14T09:57:00+05:30,25015.9785,25028.5558,25013.6132,25018.6085,1097
2026-07-14T09:58:00+05:30,25018.6085,25028.4219,25014.8381,25016.5378,11683
2026-07-14T09:59:00+05:30,25016.5378,25036.9382,25007.3554,25027.8108,1045
2026-07-14T10:00:00+05:30,25027.8108,25045.7508,25024.5845,25040.5936,5237
2026-07-14T10:01:00+05:30,25040.5936,25065.4867,25029.1716,25062.562,5589
2026-07-14T10:02:00+05:30,25062.562,25092.9321,25052.8811,25083.7235,6297
2026-07-14T10:03:00+05:30,25083.7235,25091.7032,25080.6601,25087.0883,8041
2026-07-14T10:04:00+05:30,25087.0883,25101.9682,25080.4546,25084.7703,7831
2026-07-14T10:05:00+05:30,25084.7703,25105.7144,25077.1977,25091.9748,3618
2026-07-14T10:06:00+05:30,25091.9748,25102.9196,25083.5757,25092.6987,6833
2026-07-14T10:07:00+05:30,25092.6987,25107.8812,25073.5241,25081.3202,9108
2026-07-14T10:08:00+05:30,25081.3202,25090.2373,25071.6766,25082.8526,11334
2026-07-14T10:09:00+05:30,25082.8526,25095.6735,25075.4648,25082.7198,2733
2026-07-14T10:10:00+05:30,25082.7198,25106.4216,25078.2688,25095.0981,7996
2026-07-14T10:11:00+05:30,25095.0981,25107.5874,25082.7483,25105.2976,7689
2026-07-14T10:12:00+05:30,25105.2976,25134.6963,25095.6326,25124.831,532
2026-07-14T10:13:00+05:30,25124.831,25141.1837,25119.7589,25126.0959,8467
2026-07-14T10:14:00+05:30,25126.0959,25129.5523,25095.3713,25104.1789,4805
2026-07-14T10:15:00+05:30,25104.1789,25121.7128,25101.7525,25120.3867,7496
2026-07-14T10:16:00+05:30,25120.3867,25133.5079,25115.2886,25120.3217,13351
2026-07-14T10:17:00+05:30,25120.3217,25168.9795,25115.5863,25153.179,3453
2026-07-14T10:18:00+05:30,25153.179,25167.285,25144.0134,25154.6745,5487
2026-07-14T10:19:00+05:30,25154.6745,25173.0814,25139.4584,25162.0727,9251
2026-07-14T10:20:00+05:30,25162.0727,25173.0716,25146.5451,25165.1971,2034
2026-07-14T10:21:00+05:30,25165.1971,25181.4335,25149.4357,25175.7779,5107
2026-07-14T10:22:00+05:30,25175.7779,25190.9541,25157.0551,25159.8486,10477
2026-07-14T10:23:00+05:30,25159.8486,25177.0748,25149.2519,25173.3765,8508
2026-07-14T10:24:00+05:30,25173.3765,25185.6893,25161.6269,25179.409,8147
2026-07-14T10:25:00+05:30,25179.409,25222.9446,25175.2777,25210.1927,10264
2026-07-14T10:26:00+05:30,25210.1927,25238.4343,25197.8702,25234.8667,6829
2026-07-14T10:27:00+05:30,25234.8667,25243.2278,25230.6393,25232.7136,12290
2026-07-14T10:28:00+05:30,25232.7136,25254.9919,25228.3021,25242.1746,10310
2026-07-14T10:29:00+05:30,25242.1746,25260.4652,25238.624,25249.9342,9259
2026-07-14T10:30:00+05:30,25249.9342,25251.9715,25230.8507,25245.8953,4616
2026-07-14T10:31:00+05:30,25245.8953,25270.6953,25237.3117,25261.7485,3892
2026-07-14T10:32:00+05:30,25261.7485,25282.7795,25245.9451,25273.727,9138
2026-07-14T10:33:00+05:30,25273.727,25279.4887,25254.572,25257.8513,11268
2026-07-14T10:34:00+05:30,25257.8513,25275.0171,25253.9474,25265.1343,702
2026-07-14T10:35:00+05:30,25265.1343,25272.2163,25259.5225,25267.2728,11952
2026-07-14T10:36:00+05:30,25267.2728,25274.6577,25260.32,25264.1204,11908
2026-07-14T10:37:00+05:30,25264.1204,25278.4046,25255.6145,25267.9566,897
2026-07-14T10:38:00+05:30,25267.9566,25281.8841,25254.6279,25264.9291,11546
2026-07-14T10:39:00+05:30,25264.9291,25279.2248,25244.1764,25255.2495,5065
2026-07-14T10:40:00+05:30,25255.2495,25272.7113,25247.4941,25258.1433,13859
2026-07-14T10:41:00+05:30,25258.1433,25260.555,25241.6827,25244.6696,14430
2026-07-14T10:42:00+05:30,25244.6696,25264.178,25235.6242,25254.9818,6992
2026-07-14T10:43:00+05:30,25254.9818,25273.0779,25250.7559,25266.1918,13311
2026-07-14T10:44:00+05:30,25266.1918,25283.9811,25263.9733,25281.5486,6225
2026-07-14T10:45:00+05:30,25281.5486,25288.0886,25270.6228,25273.2517,10219
2026-07-14T10:46:00+05:30,25273.2517,25288.0685,25250.877,25259.1197,2872
2026-07-14T10:47:00+05:30,25259.1197,25298.2433,25250.8832,25283.1946,5966
2026-07-14T10:48:00+05:30,25283.1946,25291.5034,25270.5216,25278.0954,4996
2026-07-14T10:49:00+05:30,25278.0954,25289.8582,25269.2985,25283.9289,6830
2026-07-14T10:50:00+05:30,25283.9289,25295.2659,25273.697,25289.9002,7067
2026-07-14T10:51:00+05:30,25289.9002,25319.2385,25280.638,25306.3014,3808
2026-07-14T10:52:00+05:30,25306.3014,25312.7592,25281.8545,25297.7515,714
2026-07-14T10:53:00+05:30,25297.7515,25299.4035,25292.371,25297.8893,1716
2026-07-14T10:54:00+05:30,25297.8893,25304.1571,25264.7272,25276.6053,8406
2026-07-14T10:55:00+05:30,25276.6053,25283.7006,25255.9692,25264.1914,12877
2026-07-14T10:56:00+05:30,25264.1914,25266.2216,25237.2862,25249.6536,10087
2026-07-14T10:57:00+05:30,25249.6536,25253.5961,25236.5938,25239.8634,6389
2026-07-14T10:58:00+05:30,25239.8634,25262.691,25234.7653,25247.3085,6664
2026-07-14T10:59:00+05:30,25247.3085,25253.606,25226.9118,25236.6063,1050
2026-07-14T11:00:00+05:30,25236.6063,25243.9874,25219.824,25234.3768,10904
2026-07-14T11:01:00+05:30,25234.3768,25236.6289,25194.1406,25209.1621,5775
2026-07-14T11:02:00+05:30,25209.1621,25217.6143,25195.9033,25204.7276,10618
2026-07-14T11:03:00+05:30,25204.7276,25207.728,25183.842,25194.1333,7126
2026-07-14T11:04:00+05:30,25194.1333,25209.3782,25173.6251,25186.9831,4817
2026-07-14T11:05:00+05:30,25186.9831,25222.5174,25183.3339,25207.1368,14654
2026-07-14T11:06:00+05:30,25207.1368,25220.0407,25183.7191,25196.8335,4498
2026-07-14T11:07:00+05:30,25196.8335,25205.1527,25181.6553,25203.7381,12771
2026-07-14T11:08:00+05:30,25203.7381,25216.5859,25169.3503,25179.081,5682
2026-07-14T11:09:00+05:30,25179.081,25204.9758,25173.4238,25192.6796,6578
2026-07-14T11:10:00+05:30,25192.6796,25200.1796,25169.5436,25175.3015,14060
2026-07-14T11:11:00+05:30,25175.3015,25189.5635,25141.6628,25145.3037,9700
2026-07-14T11:12:00+05:30,25145.3037,25148.0284,25131.2201,25138.8516,1045
2026-07-14T11:13:00+05:30,25138.8516,25144.3277,25120.065,25134.2759,4757
2026-07-14T11:14:00+05:30,25134.2759,25151.9893,25124.97,25141.1096,6474
